Platform,Year,Genre,Publisher,Global_Sales,meta_score,user_review,Global_Sales_mean_genre,Global_Sales_mean_platform,Year_Global_Sales_mean_genre,Year_Global_Sales_mean_platform,Cumulative_Sales_Genre,Cumulative_Sales_Platform
PS3,2013,Role-Playing,Square Enix,1.1,66.0,6.1,0.622510067114094,0.7202102102102103,1253.1127651006711,1449.7831531531533,628.6,609.35
PSP,2008,Action,LucasArts,1.09,70.0,7.9,0.5264508393285372,0.24425391591096457,1057.1132853717027,490.46186314921687,1011.38,104.4
DS,2008,Simulation,Ubisoft,1.09,67.0,7.2,0.4519354838709677,0.3801293900184843,907.4864516129031,763.2998151571164,215.09,457.52
PSP,2007,Action,Electronic Arts,1.09,59.0,7.0,0.5264508393285372,0.24425391591096457,1056.5868345323743,490.2176092333059,1012.47,105.49
PS2,2006,Adventure,Sega,1.09,77.0,8.7,0.18574980574980576,0.58089986155976,372.61411033411036,1165.2851222888787,83.97,751.35
X360,2009,Sports,Electronic Arts,1.09,84.0,8.1,0.5670881226053639,0.7692169146436961,1139.2800383141762,1545.3567815191855,744.88,650.63
GBA,2003,Role-Playing,Atari,1.09,75.0,8.5,0.622510067114094,0.3870230862697448,1246.88766442953,775.2072417982988,629.69,152.08
PS3,2007,Fighting,Sega,1.09,85.0,7.3,0.529375,0.7202102102102103,1062.455625,1445.461891891892,252.41,610.44
DC,2000,Sports,Sega,1.09,97.0,6.2,0.5670881226053639,0.3071153846153846,1134.1762452107278,614.2307692307693,745.97,8.84
PS,1998,Simulation,Konami Digital Entertainment,1.09,79.5,8.25,0.4519354838709677,0.6109197324414716,902.9670967741935,1220.6176254180602,216.18,434.06
PSP,2005,Misc,Sony Computer Entertainment,1.09,73.0,7.7,0.4657619321449109,0.24425391591096457,933.8526739505463,489.72910140148394,456.96999999999997,106.58
DS,2006,Action,LucasArts,1.09,65.0,7.3,0.5264508393285372,0.3801293900184843,1056.0603836930457,762.5395563770795,1013.56,458.61
XB,2003,Sports,Electronic Arts,1.09,92.0,7.6,0.5670881226053639,0.31342233009708736,1135.8775095785438,627.784927184466,747.06,87.25
PC,2009,Strategy,Sega,1.09,90.0,7.0,0.2568035190615836,0.26725025746652936,515.9182697947215,536.9057672502574,64.85,147.99
PS2,2006,Action,Electronic Arts,1.09,75.0,8.4,0.5264508393285372,0.58089986155976,1056.0603836930457,1165.2851222888787,1014.65,752.44
Wii,2009,Sports,Electronic Arts,1.09,88.0,7.7,0.5670881226053639,0.6992690278824416,1139.2800383141762,1404.8314770158252,748.15,607.61
PS2,2002,Shooter,LucasArts,1.09,65.0,8.1,0.7908155487804878,0.58089986155976,1583.2127286585364,1162.9615228426396,746.12,753.53
PS,1997,Simulation,Taito,1.09,79.5,8.25,0.4519354838709677,0.6109197324414716,902.5151612903226,1220.0067056856187,217.27,435.15
PS3,2010,Action,Electronic Arts,1.09,75.0,7.6,0.5264508393285372,0.7202102102102103,1058.1661870503597,1447.6225225225226,1015.74,611.53
DS,2010,Racing,Sega,1.09,78.0,8.0,0.5853944223107569,0.3801293900184843,1176.6427888446212,764.0600739371534,462.52,459.7
PS3,2012,Action,Activision,1.09,77.0,7.0,0.5264508393285372,0.7202102102102103,1059.219088729017,1449.062942942943,1016.83,612.62
Wii,2007,Adventure,Nintendo,1.09,72.0,8.3,0.18574980574980576,0.6992690278824416,372.7998601398602,1403.4329389600603,85.06,608.7
PS,1998,Sports,Midway Games,1.09,80.0,7.3,0.5670881226053639,0.6109197324414716,1133.042068965517,1220.6176254180602,749.24,436.24
X360,2010,Racing,Sega,1.09,47.0,2.5,0.5853944223107569,0.7692169146436961,1176.6427888446212,1546.1259984338292,463.61,651.72
PS2,2003,Racing,Electronic Arts,1.08,88.0,8.6,0.5853944223107569,0.58089986155976,1172.5450278884462,1163.5424227041995,464.69,754.61
PS3,2008,Action,Ubisoft,1.08,85.0,7.4,0.5264508393285372,0.7202102102102103,1057.1132853717027,1446.1821021021021,1017.91,613.7
PS2,2002,Platform,THQ,1.08,69.0,8.3,0.9373055242390079,0.58089986155976,1876.485659526494,1162.9615228426396,639.04,755.69
PC,2015,Action,Take-Two Interactive,1.08,96.0,7.8,0.5264508393285372,0.26725025746652936,1060.7984412470025,538.5092687950566,1018.99,149.07
Wii,2009,Sports,THQ,1.08,72.0,7.6,0.5670881226053639,0.6992690278824416,1139.2800383141762,1404.8314770158252,750.3199999999999,609.78
PS2,2002,Sports,Agetec,1.08,78.0,8.0,0.5670881226053639,0.58089986155976,1135.3104214559385,1162.9615228426396,751.4,756.77
DS,2009,Adventure,Electronic Arts,1.08,67.0,7.9,0.18574980574980576,0.3801293900184843,373.1713597513598,763.6799445471349,86.14,460.78000000000003
Wii,2009,Action,Capcom,1.08,75.0,7.8,0.5264508393285372,0.6992690278824416,1057.6397362110313,1404.8314770158252,1020.0699999999999,610.86
X360,2012,Action,Electronic Arts,1.08,76.0,5.6,0.5264508393285372,0.7692169146436961,1059.219088729017,1547.6644322631166,1021.15,652.8
PSP,2009,Action,Take-Two Interactive,1.08,90.0,7.4,0.5264508393285372,0.24425391591096457,1057.6397362110313,490.70611706512784,1022.23,107.66
Wii,2010,Sports,Electronic Arts,1.08,73.0,6.5,0.5670881226053639,0.6992690278824416,1139.8471264367815,1405.5307460437077,752.48,611.9399999999999
PS3,2007,Shooter,Electronic Arts,1.08,89.0,8.3,0.7908155487804878,0.7202102102102103,1587.1668064024389,1445.461891891892,747.2,614.78
2600,1982,Platform,Atari,1.08,73.0,7.7,0.9373055242390079,0.7299248120300752,1857.7395490417136,1446.710977443609,640.12,44.29
X360,2008,Action,Eidos Interactive,1.08,76.0,6.8,0.5264508393285372,0.7692169146436961,1057.1132853717027,1544.5875646045417,1023.31,653.88
PS2,2004,Shooter,Ubisoft,1.08,58.0,5.7,0.7908155487804878,0.58089986155976,1584.7943597560975,1164.123322565759,748.28,757.85
PS3,2011,Racing,Codemasters,1.08,87.0,7.2,0.5853944223107569,0.7202102102102103,1177.228183266932,1448.3427327327329,465.77,615.86
WiiU,2013,Platform,Nintendo,1.08,80.0,8.3,0.9373055242390079,0.5724475524475524,1886.7960202931229,1152.336923076923,641.2,48.370000000000005
DS,2008,Simulation,Electronic Arts,1.08,65.0,6.8,0.4519354838709677,0.3801293900184843,907.4864516129031,763.2998151571164,218.35,461.86
PS,1998,Sports,Midway Games,1.08,80.0,7.3,0.5670881226053639,0.6109197324414716,1133.042068965517,1220.6176254180602,753.56,437.32
GBA,2003,Fighting,Atari,1.08,77.5,7.6,0.529375,0.3870230862697448,1060.338125,775.2072417982988,253.49,153.16
GBA,2002,Platform,Ubisoft,1.08,80.0,7.4,0.9373055242390079,0.3870230862697448,1876.485659526494,774.820218712029,642.28,154.24
GC,2005,Shooter,Nintendo,1.08,67.0,8.1,0.7908155487804878,0.35850987432675047,1585.585175304878,718.8122980251347,749.36,92.74
PS3,2008,Fighting,Namco Bandai Games,1.08,75.0,8.0,0.529375,0.7202102102102103,1062.9850000000001,1446.1821021021021,254.57,616.94
X360,2011,Fighting,Capcom,1.08,85.0,7.1,0.529375,0.7692169146436961,1064.5731250000001,1546.895215348473,255.65,654.96
X360,2013,Sports,Electronic Arts,1.07,77.0,6.0,0.5670881226053639,0.7692169146436961,1141.5483908045976,1548.4336491777603,754.63,656.03
PS,1999,Misc,Sony Computer Entertainment,1.07,66.0,8.1,0.4657619321449109,0.6109197324414716,931.058102357677,1221.2285451505018,458.04,438.39
PS2,2006,Shooter,Activision,1.07,82.0,7.4,0.7908155487804878,0.58089986155976,1586.3759908536585,1165.2851222888787,750.43,758.92
DS,2008,Simulation,Ubisoft,1.07,67.0,7.2,0.4519354838709677,0.3801293900184843,907.4864516129031,763.2998151571164,219.42,462.93
X360,2010,Action,Take-Two Interactive,1.07,72.5,7.4,0.5264508393285372,0.7692169146436961,1058.1661870503597,1546.1259984338292,1024.3799999999999,657.1
X360,2008,Action,Take-Two Interactive,1.07,80.0,8.3,0.5264508393285372,0.7692169146436961,1057.1132853717027,1544.5875646045417,1025.45,658.17
SAT,1994,Fighting,Sega,1.07,73.0,7.7,0.529375,0.1941618497109827,1055.57375,387.15872832369945,256.72,4.16
PC,1999,Sports,Eidos Interactive,1.07,82.0,6.5,0.5670881226053639,0.26725025746652936,1133.6091570881224,534.2332646755922,755.7,150.14
PS2,2009,Fighting,THQ,1.07,73.0,8.4,0.529375,0.58089986155976,1063.514375,1167.027821873558,257.79,759.99
X360,2007,Sports,Konami Digital Entertainment,1.07,76.0,7.5,0.5670881226053639,0.7692169146436961,1138.1458620689652,1543.818347689898,756.77,659.24
DS,2005,Platform,Nintendo,1.07,75.0,7.8,0.9373055242390079,0.3801293900184843,1879.2975760992108,762.159426987061,643.35,464.0
PS,1997,Sports,Electronic Arts,1.07,80.0,7.3,0.5670881226053639,0.6109197324414716,1132.4749808429117,1220.0067056856187,757.84,439.46
PS2,2005,Fighting,Namco Bandai Games,1.07,86.0,8.6,0.529375,0.58089986155976,1061.3968750000001,1164.7042224273189,258.86,761.06
PS3,2013,Platform,Activision,1.07,76.0,7.7,0.9373055242390079,0.7202102102102103,1886.7960202931229,1449.7831531531533,644.42,618.01
PS3,2012,Racing,Codemasters,1.07,81.0,7.5,0.5853944223107569,0.7202102102102103,1177.813577689243,1449.062942942943,466.84000000000003,619.08
PSP,2005,Sports,Sony Computer Entertainment,1.07,70.0,6.5,0.5670881226053639,0.24425391591096457,1137.0116858237545,489.72910140148394,758.91,108.73
Wii,2011,Action,Disney Interactive Studios,1.07,61.0,6.6,0.5264508393285372,0.6992690278824416,1058.6926378896883,1406.23001507159,1026.52,613.01
PS,1995,Racing,Sony Computer Entertainment,1.07,74.5,8.25,0.5853944223107569,0.6109197324414716,1167.86187250996,1218.7848662207357,467.91,440.53
X360,2011,Action,Disney Interactive Studios,1.07,73.0,7.3,0.5264508393285372,0.7692169146436961,1058.6926378896883,1546.895215348473,1027.59,660.31
PS,1999,Racing,Electronic Arts,1.07,74.5,8.25,0.5853944223107569,0.6109197324414716,1170.203450199203,1221.2285451505018,468.98,441.6
PS,1998,Sports,Electronic Arts,1.06,80.0,7.3,0.5670881226053639,0.6109197324414716,1133.042068965517,1220.6176254180602,759.97,442.66
PS2,2006,Fighting,Midway Games,1.06,75.0,8.3,0.529375,0.58089986155976,1061.92625,1165.2851222888787,259.92,762.12
X360,2010,Shooter,Sega,1.06,76.0,7.3,0.7908155487804878,0.7692169146436961,1589.5392530487804,1546.1259984338292,751.49,661.37
PS2,2002,Racing,Electronic Arts,1.06,81.0,7.8,0.5853944223107569,0.58089986155976,1171.9596334661353,1162.9615228426396,470.04,763.18
DS,2008,Misc,GSP,1.06,70.0,7.5,0.4657619321449109,0.3801293900184843,935.2499597469811,763.2998151571164,459.1,465.06
X360,2010,Action,THQ,1.06,83.0,7.9,0.5264508393285372,0.7692169146436961,1058.1661870503597,1546.1259984338292,1028.65,662.43
PS3,2007,Racing,Codemasters,1.06,83.0,8.1,0.5853944223107569,0.7202102102102103,1174.8866055776891,1445.461891891892,471.1,620.14
DS,2007,Shooter,Activision,1.06,75.0,6.2,0.7908155487804878,0.3801293900184843,1587.1668064024389,762.9196857670979,752.55,466.12
PS,1998,Misc,D3Publisher,1.06,66.0,8.1,0.4657619321449109,0.6109197324414716,930.592340425532,1220.6176254180602,460.15999999999997,443.72
Wii,2008,Sports,Sega,1.06,71.0,7.1,0.5670881226053639,0.6992690278824416,1138.7129501915706,1404.1322079879428,761.03,614.0699999999999
PS2,2005,Sports,Electronic Arts,1.06,89.0,8.5,0.5670881226053639,0.58089986155976,1137.0116858237545,1164.7042224273189,762.09,764.24
PS3,2012,Action,Square Enix,1.06,83.0,7.7,0.5264508393285372,0.7202102102102103,1059.219088729017,1449.062942942943,1029.71,621.2
X360,2008,Shooter,Electronic Arts,1.06,72.0,7.1,0.7908155487804878,0.7692169146436961,1587.9576219512194,1544.5875646045417,753.61,663.49
PS,1999,Strategy,Microprose,1.06,67.5,8.3,0.2568035190615836,0.6109197324414716,513.3502346041056,1221.2285451505018,65.91,444.78
PS2,2003,Action,Universal Interactive,1.06,71.0,7.8,0.5264508393285372,0.58089986155976,1054.48103117506,1163.5424227041995,1030.77,765.3
PS3,2008,Action,Activision,1.06,77.0,7.7,0.5264508393285372,0.7202102102102103,1057.1132853717027,1446.1821021021021,1031.83,622.26
N64,1998,Sports,Midway Games,1.06,84.0,8.0,0.5670881226053639,0.6861442006269592,1133.042068965517,1370.9161128526646,763.15,139.65
N64,1997,Sports,Acclaim Entertainment,1.06,84.0,8.0,0.5670881226053639,0.6861442006269592,1132.4749808429117,1370.2299686520375,764.21,140.71
X360,2009,Misc,Activision,1.06,84.0,7.9,0.4657619321449109,0.7692169146436961,935.715721679126,1545.3567815191855,461.21999999999997,664.55
DS,2007,Platform,Take-Two Interactive,1.06,75.0,7.9,0.9373055242390079,0.3801293900184843,1881.1721871476889,762.9196857670979,645.48,467.18
PC,2001,Role-Playing,Vivendi Games,1.06,87.0,9.1,0.622510067114094,0.26725025746652936,1245.642644295302,534.7677651905252,630.75,151.2
PS4,2016,Fighting,Namco Bandai Games,1.06,79.0,8.1,0.529375,0.8276785714285715,1067.22,1668.6000000000001,260.98,215.22
GBA,2004,Action,Activision,1.06,65.0,7.9,0.5264508393285372,0.3870230862697448,1055.0074820143886,775.5942648845686,1032.89,155.3
PS3,2007,Sports,Sega,1.06,80.0,7.9,0.5670881226053639,0.7202102102102103,1138.1458620689652,1445.461891891892,765.27,623.32
PS2,2002,Racing,Play It,1.06,63.0,8.9,0.5853944223107569,0.58089986155976,1171.9596334661353,1162.9615228426396,472.16,766.36
PS3,2007,Simulation,Sony Computer Entertainment,1.06,84.0,8.3,0.4519354838709677,0.7202102102102103,907.0345161290322,1445.461891891892,220.48,624.38
DS,2007,Adventure,Capcom,1.06,78.0,8.0,0.18574980574980576,0.3801293900184843,372.7998601398602,762.9196857670979,87.2,468.24
X360,2014,Action,Ubisoft,1.05,72.5,7.4,0.5264508393285372,0.7692169146436961,1060.271990407674,1549.202866092404,1033.94,665.6
2600,1981,Shooter,Imagic,1.05,73.0,7.7,0.7908155487804878,0.7299248120300752,1566.6056021341462,1445.981052631579,754.66,45.339999999999996
PSP,2006,Shooter,Sony Computer Entertainment,1.05,81.0,8.7,0.7908155487804878,0.24425391591096457,1586.3759908536585,489.9733553173949,755.71,109.78
Wii,2014,Action,Activision,1.05,68.0,7.4,0.5264508393285372,0.6992690278824416,1060.271990407674,1408.3278221552373,1034.99,615.12
PS3,2010,Shooter,Sega,1.05,75.0,7.3,0.7908155487804878,0.7202102102102103,1589.5392530487804,1447.6225225225226,756.76,625.43
2600,1980,Misc,Atari,1.05,73.0,7.7,0.4657619321449109,0.7299248120300752,922.2086256469236,1445.2511278195489,462.27,46.39
Wii,2010,Misc,Ubisoft,1.05,70.0,7.2,0.4657619321449109,0.6992690278824416,936.1814836112709,1405.5307460437077,463.32,616.17
NES,1986,Platform,Hudson Soft,1.05,73.0,7.7,0.9373055242390079,2.561938775510204,1861.4887711386698,5088.010408163265,646.53,232.76
PS,1996,Role-Playing,Sony Computer Entertainment,1.05,82.0,8.8,0.622510067114094,0.6109197324414716,1242.5300939597316,1219.3957859531772,631.8,445.83
NES,1985,Fighting,Namco Bandai Games,1.05,73.0,7.7,0.529375,2.561938775510204,1050.809375,5085.448469387755,262.03,233.81
SNES,1996,Sports,ASCII Entertainment,1.05,73.0,7.7,0.5670881226053639,0.8370292887029289,1131.9078927203063,1670.710460251046,766.3199999999999,143.36
PS3,2012,Action,THQ,1.05,86.0,7.5,0.5264508393285372,0.7202102102102103,1059.219088729017,1449.062942942943,1036.04,626.48
PS2,2002,Sports,Sega,1.05,89.0,7.8,0.5670881226053639,0.58089986155976,1135.3104214559385,1162.9615228426396,767.37,767.41
PS4,2015,Fighting,Namco Bandai Games,1.05,71.0,7.5,0.529375,0.8276785714285715,1066.6906250000002,1667.7723214285716,263.08,216.27
XB,2001,Racing,Electronic Arts,1.05,72.0,7.5,0.5853944223107569,0.31342233009708736,1171.3742390438244,627.1580825242718,473.21,88.3
PS,2000,Sports,Acclaim Entertainment,1.05,82.0,7.1,0.5670881226053639,0.6109197324414716,1134.1762452107278,1221.839464882943,768.42,446.88
DS,2007,Simulation,Ubisoft,1.05,67.0,7.2,0.4519354838709677,0.3801293900184843,907.0345161290322,762.9196857670979,221.53,469.29
X360,2009,Fighting,THQ,1.05,80.0,8.2,0.529375,0.7692169146436961,1063.514375,1545.3567815191855,264.13,666.65
XB,2005,Racing,Microsoft Game Studios,1.05,92.0,7.6,0.5853944223107569,0.31342233009708736,1173.7158167330676,628.4117718446602,474.26,89.35
X360,2006,Platform,Sega,1.05,70.0,7.3,0.9373055242390079,0.7692169146436961,1880.2348816234498,1543.0491307752545,647.58,667.7
Wii,2009,Adventure,Electronic Arts,1.05,78.0,8.5,0.18574980574980576,0.6992690278824416,373.1713597513598,1404.8314770158252,88.25,617.22
PS,1998,Simulation,Sony Computer Entertainment,1.05,79.5,8.25,0.4519354838709677,0.6109197324414716,902.9670967741935,1220.6176254180602,222.58,447.93
DS,2012,Role-Playing,Nintendo,1.05,80.0,8.3,0.622510067114094,0.3801293900184843,1252.490255033557,764.8203327171904,632.85,470.34
X360,2007,Action,Electronic Arts,1.05,71.0,7.7,0.5264508393285372,0.7692169146436961,1056.5868345323743,1543.818347689898,1037.09,668.75
Wii,2008,Action,Warner Bros. Interactive Entertainment,1.04,67.0,7.0,0.5264508393285372,0.6992690278824416,1057.1132853717027,1404.1322079879428,1038.1299999999999,618.26
PS2,2003,Sports,Electronic Arts,1.04,81.0,8.3,0.5670881226053639,0.58089986155976,1135.8775095785438,1163.5424227041995,769.46,768.45
Wii,2007,Fighting,Atari,1.04,72.0,8.5,0.529375,0.6992690278824416,1062.455625,1403.4329389600603,265.17,619.3
DS,2010,Action,Disney Interactive Studios,1.04,65.0,7.3,0.5264508393285372,0.3801293900184843,1058.1661870503597,764.0600739371534,1039.17,471.38
PS,1997,Role-Playing,Namco Bandai Games,1.04,82.0,8.8,0.622510067114094,0.6109197324414716,1243.1526040268457,1220.0067056856187,633.89,448.97
PS,2000,Racing,Acclaim Entertainment,1.04,74.5,8.25,0.5853944223107569,0.6109197324414716,1170.7888446215138,1221.839464882943,475.3,450.01
DS,2009,Adventure,Disney Interactive Studios,1.04,67.0,7.9,0.18574980574980576,0.3801293900184843,373.1713597513598,763.6799445471349,89.29,472.42
PS,1996,Action,Virgin Interactive,1.04,80.0,8.2,0.5264508393285372,0.6109197324414716,1050.7958752997602,1219.3957859531772,1040.21,451.05
GC,2003,Fighting,Nintendo,1.04,74.0,8.7,0.529375,0.35850987432675047,1060.338125,718.0952782764812,266.21,93.78
PS2,2006,Simulation,Konami Digital Entertainment,1.04,73.0,7.8,0.4519354838709677,0.58089986155976,906.5825806451612,1165.2851222888787,223.62,769.49
X360,2011,Shooter,Bethesda Softworks,1.04,68.0,5.8,0.7908155487804878,0.7692169146436961,1590.330068597561,1546.895215348473,757.8,669.79
GBA,2001,Racing,Nintendo,1.04,86.0,7.8,0.5853944223107569,0.3870230862697448,1171.3742390438244,774.4331956257594,476.34000000000003,156.34
N64,1997,Puzzle,Hudson Soft,1.04,76.0,8.0,0.4208762886597938,0.6861442006269592,840.4899484536082,1370.2299686520375,155.13,141.75
PS,1998,Racing,Acclaim Entertainment,1.04,74.5,8.25,0.5853944223107569,0.6109197324414716,1169.6180557768923,1220.6176254180602,477.38,452.09
X360,2009,Action,Activision,1.04,71.0,7.6,0.5264508393285372,0.7692169146436961,1057.6397362110313,1545.3567815191855,1041.25,670.83
PS4,2015,Racing,Slightly Mad Studios,1.04,83.0,6.6,0.5853944223107569,0.8276785714285715,1179.569760956175,1667.7723214285716,478.42,217.31
XB,2005,Racing,Electronic Arts,1.04,72.0,7.5,0.5853944223107569,0.31342233009708736,1173.7158167330676,628.4117718446602,479.46,90.39
DS,2011,Platform,Nintendo,1.04,75.0,7.9,0.9373055242390079,0.3801293900184843,1884.921409244645,764.4402033271718,648.62,473.46
XOne,2013,Action,Warner Bros. Interactive Entertainment,1.04,75.0,6.9,0.5264508393285372,0.6622535211267606,1059.7455395683453,1333.1163380281691,1042.29,99.0
DS,2010,Simulation,Activision,1.04,67.0,7.2,0.4519354838709677,0.3801293900184843,908.3903225806451,764.0600739371534,224.66,474.5
PS3,2007,Shooter,Ubisoft,1.04,84.0,7.6,0.7908155487804878,0.7202102102102103,1587.1668064024389,1445.461891891892,758.84,627.52
PSP,2009,Racing,Sony Computer Entertainment,1.04,69.0,7.6,0.5853944223107569,0.24425391591096457,1176.0573944223106,490.70611706512784,480.5,110.82
PSP,2005,Racing,Sony Computer Entertainment,1.04,69.0,7.6,0.5853944223107569,0.24425391591096457,1173.7158167330676,489.72910140148394,481.54,111.86
PS4,2014,Sports,Electronic Arts,1.04,70.0,6.1,0.5670881226053639,0.8276785714285715,1142.115478927203,1666.944642857143,770.5,218.35
PS2,2005,Racing,THQ,1.03,79.0,8.5,0.5853944223107569,0.58089986155976,1173.7158167330676,1164.7042224273189,482.57,770.52
PS3,2008,Platform,Sega,1.03,76.0,7.7,0.9373055242390079,0.7202102102102103,1882.109492671928,1446.1821021021021,649.65,628.55
Wii,2007,Sports,Electronic Arts,1.03,72.0,7.0,0.5670881226053639,0.6992690278824416,1138.1458620689652,1403.4329389600603,771.53,620.33
PS3,2011,Platform,Ubisoft,1.03,87.0,8.5,0.9373055242390079,0.7202102102102103,1884.921409244645,1448.3427327327329,650.6800000000001,629.58
Wii,2012,Action,Disney Interactive Studios,1.03,68.0,7.4,0.5264508393285372,0.6992690278824416,1059.219088729017,1406.9292840994726,1043.32,621.36
PS2,2003,Sports,Electronic Arts,1.03,82.0,8.8,0.5670881226053639,0.58089986155976,1135.8775095785438,1163.5424227041995,772.56,771.55
NES,1985,Puzzle,Hudson Soft,1.03,73.0,7.7,0.4208762886597938,2.561938775510204,835.4394329896908,5085.448469387755,156.16,234.84
Wii,2007,Action,Electronic Arts,1.03,64.0,6.1,0.5264508393285372,0.6992690278824416,1056.5868345323743,1403.4329389600603,1044.35,622.39
PC,1996,Action,Eidos Interactive,1.03,86.0,8.4,0.5264508393285372,0.26725025746652936,1050.7958752997602,533.4315139031926,1045.3799999999999,152.23
Wii,2008,Misc,MTV Games,1.03,92.0,7.2,0.4657619321449109,0.6992690278824416,935.2499597469811,1404.1322079879428,464.35,623.42
PS,1998,Fighting,Virgin Interactive,1.03,93.0,8.6,0.529375,0.6109197324414716,1057.69125,1220.6176254180602,267.24,453.12
X360,2011,Shooter,Electronic Arts,1.02,84.0,7.6,0.7908155487804878,0.7692169146436961,1590.330068597561,1546.895215348473,759.86,671.85
Wii,2007,Sports,Electronic Arts,1.02,65.0,6.0,0.5670881226053639,0.6992690278824416,1138.1458620689652,1403.4329389600603,773.58,624.4399999999999
Wii,2007,Fighting,Tomy Corporation,1.02,74.0,7.9,0.529375,0.6992690278824416,1062.455625,1403.4329389600603,268.26,625.46
X360,2007,Shooter,Ubisoft,1.02,86.0,7.7,0.7908155487804878,0.7692169146436961,1587.1668064024389,1543.818347689898,760.88,672.87
WiiU,2012,Action,Ubisoft,1.02,77.0,7.8,0.5264508393285372,0.5724475524475524,1059.219088729017,1151.7644755244755,1046.4,49.39
GC,2004,Platform,Activision,1.02,70.0,5.3,0.9373055242390079,0.35850987432675047,1878.360270574972,718.4537881508079,651.7,94.8
DS,2007,Simulation,Ubisoft,1.02,67.0,7.2,0.4519354838709677,0.3801293900184843,907.0345161290322,762.9196857670979,225.68,475.52
PS3,2010,Role-Playing,Namco Bandai Games,1.02,77.0,8.5,0.622510067114094,0.7202102102102103,1251.2452348993288,1447.6225225225226,634.91,630.6
SNES,1993,Action,Capcom,1.02,73.0,7.7,0.5264508393285372,0.8370292887029289,1049.2165227817745,1668.1993723849373,1047.42,144.38
Wii,2008,Platform,THQ,1.02,76.0,8.2,0.9373055242390079,0.6992690278824416,1882.109492671928,1404.1322079879428,652.72,626.48
PS,1997,Action,Electronic Arts,1.02,80.0,8.2,0.5264508393285372,0.6109197324414716,1051.3223261390888,1220.0067056856187,1048.44,454.14
X360,2007,Simulation,Atari,1.02,80.0,8.0,0.4519354838709677,0.7692169146436961,907.0345161290322,1543.818347689898,226.7,673.89
